"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","800037",MIMASKOT GATITOS POLLO CARNE   6X1 KG,BOLSA,52.955727
"20100035121","800074",MOLITALIA MEZCLA KEKE VAINILLA 6X450 GR,CAJA,26.930400
"20100035121","800036",MIMASKOT GATOS POLLO CARNE  6X1 KG,BOLSA,49.431167
"20100035121","800075",Molitalia Torta Choco 6X500 GR,CAJA,26.930909
"20100035121","800035",MIMASKOT GATOS  SALMON ATUN   6X1 KG,BOLSA,49.431263
"20100035121","800039",MIMASKOT GATITOS POLLO CARNE  9 KG,BOLSA,78.032306
"20100035121","8001143",FANNY FILETE ATUN ACEIT VEG.48X140 GR.,CAJA,215.630628
"20100035121","800040",MIMASKOT GATOS  SALMON ATUN 9 KG,BOLSA,72.294500
"20100035121","800215",FULL MASTICRUNCH 6X24X13.5 GR.,CAJA,34.910000
"20100035121","800203",CEREALBAR ARANDANOS 8X12X18 GR.,CAJA,44.300000
"20100035121","800100",FULL SANDIA 6 X 24 X 22.5 GR.,CAJA,71.501250
"20100035121","800553",MIMASKOT CARNES 4X3KG,BOLSA,80.900000
"20100035121","800038",MIMASKOT GATOS POLLO  CARNE  9 KG,BOLSA,72.294889
"20100035121","800133",MIMASKOT CARNES 12X450GR,BOLSA,34.850000
"20100035121","800135",DOYPACK DELIFRESA  8X700 GR.,CAJA,45.475000
"20100035121","800109",CEREALBAR MANZANA-CANELA 8X12X18 GR.,CAJA,44.296364
"20100035121","800237",NVO NUTRICAN ADULTO 15KG,BOLSA,66.531667
"20100035121","800229",NVO NUTRICAN CACHORROS 8X2KG,BOLSA,80.325000
"20100035121","800188",CRACKELET SNACK JAMON 6X6X47GR.,CAJA,27.956000
"20100035121","800597",GALLETA CARITAS FRESA 16X6X34 GR.,CAJA,46.883200
"20100035121","800115",WAFER TUYO 10 X 20 X 22 GR.,CAJA,87.865680
"20100035121","800187",CRACKELET SNACK JAMON 36X47 GR.,CAJA,26.025000
"20100035121","800153",Harina Preparada 6X1 KG,BOLSA,33.387143
"20100035121","800147",FRUNA BLOCKS 12X20X25 GR.,CAJA,185.808000
"20100035121","800239",NVO NUTRICAN ADULTOS 12X450G,BOLSA,23.773758
"20100035121","800300","OET CHOCOLATE 18X100X5,5 GR.",CAJA,145.913333
"20100035121","800235",NVO NUTRICAN ADULTOS 8X2KG,BOLSA,74.702000
"20100035121","800790",CEREALBAR GOLDEN CEREAL 8X12X21 GR,CAJA,44.298000
"20100035121","800155",Harina S/Preparar 6X1 KG,BOLSA,25.792500
"20100035121","800290",TODINNO+CIOCCOLATO 4X1 KG,CAJA,88.678333
"20100035121","800159",FRUGELE NAVIDAD 27 X 301 GR.,CAJA,166.930000
"20100035121","800228",NVO NUTRICAN CACHORROS20X1KG,BOLSA,96.176667
"20100035121","800248",HARINA SELECTA 6X1 KG,BOLSA,36.171200
"20100035121","800302",OET MINT 18X100X5.5  GR.,CAJA,145.920000
"20100035121","800284",PANETON CIOCCOLATO CAJA 6X500G,CAJA,81.702500
"20100035121","800829",AVENA 3 OSITOS GRANEL 10 KG,BOLSA,60.169000
"20100035121","800156",Harina S/Preparar 18X180 GR,BOLSA,16.195556
"20100035121","800496",MIMASKOT CACHORROS RZ MED-GRAN 25KG,BOLSA,151.200000
"20100035121","800231",NVO NUTRICAN CACHORROS 15KG,BOLSA,68.795676
"20100035121","800234",NVO NUTRICAN ADULTOS 20X1KG,BOLSA,93.506774
"20100035121","800261",FIESTA AMBROSOLI 9 X 1KG,CAJA,94.930000
"20100035121","800429",NUTRICAN GATOS ATUN SARDINA 12 X 450 GR.,BOLSA,40.925224
"20100035121","800495",MIMASKOT CACHORROS RZ M-G 12X450GR,BOLSA,34.849556
"20100035121","800880",GALLETA AGUA LINE 12X6X42 GR.,CAJA,39.144235
"20100035121","800216",MENTITA MASTICRUNCH 6X24X13.5 GR,CAJA,34.907500
"20100035121","800550",Semola Marco Polo 20X180 GR,BOLSA,21.814857
"20100035121","800305",MIMASKOT GATITOS  4X3 KG,BOLSA,99.200000
"20100035121","800272",PANETON TODINNO BOLSA  6X900G,CAJA,119.776000
"20100035121","800301","OET SURTIDO 18X100X5,5 GR.",CAJA,145.912500
"20100035121","800492",MIMASKOT ADULTOS RAZA PEQUENA 6X1KG,BOLSA,40.632308
"20100035121","800826",QUINUA  AVENA 3 OSITOS  12X270 GR,BOLSA,25.111818
"20100035121","800882",GALLETA SODA LINE 12X6X40 GR.,CAJA,39.144242
"20100035121","800251",CRACKELET SNACK JAMON 18X150 GR.,CAJA,35.462000
"20100035121","800576",MOLITALIA MACARRON FAMILIAR 16X500G,BOLSA,37.938000
"20100035121","800417",MIMASKOT GATITOS  12X450 GR.,BOLSA,48.717381
"20100035121","800304",MIMASKOT GATOS SALMON  4X3 KG,BOLSA,95.903000
"20100035121","800416",MIMASKOT GATOS SALMON  12X450 GR.,BOLSA,45.242195
"20100035121","800598",BIZCOCHO CARITAS 14X6X28 GR.,CAJA,40.233796
"20100035121","800853",AVENA CEREAL ANDINO 3 OSITOS 12X270 GR.,BOLSA,24.920000
"20100035121","800893",ZEUS CACHORROS 10KG,BOLSA,41.366250
"20100035121","800427",NUTRICAN GATOS ATUN SARDINA  6X1 KG.,BOLSA,44.144556
"20100035121","800599",BIZCOCHO CHOCMAN DOBL BLACK 8X6X53 GR.,CAJA,39.943333
"20100035121","800499",MIMASKOT CACHORROS RZ MEDGRAN 6X1KG,BOLSA,40.632000
"20100035121","800489",MIMASKOT CACHORROS RAZAPEQUENA 15KG,BOLSA,93.656667
"20100035121","800487",MIMASKOT CACHORROS RZ PEQUENAS 25KG,BOLSA,151.198000
"20100035121","800770",CEREALBAR CHOCOCERAL 8X12X21 GR.,CAJA,44.295000
"20100035121","800883",GALLETA SODA LINE 21X170 GR.,CAJA,50.386667
"20100035121","800983",CHUPETE PIN POP FRESA 16X24X17 GR.,CAJA,88.906000
"20100035121","800486",MIMASKOT CACHORROS RZ PEQ 12X450GR,BOLSA,34.849500
"20100035121","800652",GOMAS AMBROSIA 12X90GR,CAJA,19.315000
"20100035121","800527",SEMOLA 25KG,BOLSA,108.550000
"20100035121","800490",MIMASKOT CACHORROS RAZA PEQ 6X1KG,BOLSA,40.632500
"20100035121","800494",MIMASKOT ADULTOS RAZA PEQUENA 15KG,BOLSA,95.088000
"20100035121","800820",MACA AVENA 3 OSITOS 12X270GR,BOLSA,24.924000
"20100035121","800892",ZEUS CACHORROS 8X2KG,BOLSA,67.890615
"20100035121","800986",GOMAS GUSANOS ACIDOS 12X90GR,CAJA,19.314667
"20100035121","800498",MIMASKOT CACHORROS RZ MED-GRAN 15KG,BOLSA,95.090000
"20100035121","800658",AVENA CANELA Y CLAVO 2V 24X100 GR.,BOLSA,21.644545
"20100035121","800650",GOMAS AMBROSITO 12X90GR,CAJA,19.314590
"20100035121","800493",MIMASKOT ADULTOS RAZA PEQUENA 4X3KG,BOLSA,80.900000
"20100035121","800881",GALLETA AGUA LINE 21X200 GR.,CAJA,50.382000
"20100035121","800891",PANETON PASQUALINO BOLSA 6 X 800GR,CAJA,90.855242
"20100035121","800982",CHUPETIN COLORADO MARACUYA25X25X17GR,CAJA,138.914000
"20100035121","800992",AVENA PREM CLASICA 3OSITOS 12X250 GR.,BOLSA,24.420000
"20100035121","800544",Harina el Molino Especial Papel 50 KG,BOLSA,111.969522
"20100035121","800659",PANETON TODINNITO CAJA 48X85GR,CAJA,155.487333
"20100035121","800884",WAFER NIK FRESA 12X6X27 GR.,CAJA,34.574400
"20100035121","800523",PREMEZCLA KEKE DE NARANJA 6X450 GRS,CAJA,27.106667
"20100035121","800889",WAFER NIK VAINILLA 6X6X72 GR.,CAJA,36.192273
"20100035121","800980",CHUPETIN COLORADO TUTTI 25X25X17 GR.,CAJA,144.555000
"20100035121","800987",GOMAS GUSANOS 12X90GR,CAJA,19.314667
"20100035121","801030",MOLITALIA LETRAS 09 20X250 GR,BOLSA,25.856154
