"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20100035121","0802312","802312","","029-FANNY COCKTAIL DE FRUTAS 12 X 820 G",CAJA,12.0000,12.0000,0.8200000000000000000,9.8400,145.8324960000
"20100035121","0802320","802320","","029-FANNY MERMELADA POTE 12 X 320G",CAJA,12.0000,12.0000,0.3200000000000000000,3.8400,50.1668280000
"20100035121","0802733","802733","","029-CHUPETE QUE LOCO 10 X 20 X 13G",CAJA,10.0000,10.0000,0.2600000000000000000,2.6000,126.2234800000
"20100035121","0802772","","","029-CARAMELO AMBROCOLAS 20 X 350G",CAJA,20.0000,20.0000,0.3500000000000000000,7.0000,75.0580000000
"20100035121","0803279","","","029-FANNY MERMELADA FRESA VASO 12 X 310G",CAJA,12.0000,12.0000,0.3100000000000000000,3.7200,47.6026680000
"20100035121","0803281","803281","","029-FANNY GRATED ATUN EN AGUA Y SAL 48X170G",CAJA,48.0000,48.0000,0.1700000000000000000,8.1600,152.3793600000
"20100035121","0803380","803380","","029-FANNY VINAGRE TINTO 12 X 500 G",CAJA,12.0000,12.0000,0.5000000000000000000,6.0000,23.0100000000
"20100035121","0803479","803479","","029-FANNY DURAZNOS EN MITADES 12 X 820 G",CAJA,12.0000,12.0000,0.8200000000000000000,9.8400,116.5423320000
"20100035121","0803816","","","029-GOMAS CALIPTUS CHERRY 16X12X25GR",CAJA,16.0000,16.0000,0.3000000000000000000,4.8000,96.6550080000
"20100035121","0803817","803817","","029-GOMAS CALIPTUS 16X12X25G",CAJA,16.0000,16.0000,0.3000000000000000000,4.8000,96.6490080000
"20100035121","0804404","804404","","029-BIZCOCHO CANCUN 14 X 6 X 30G",CAJA,14.0000,14.0000,0.1800000000000000000,2.5200,40.4740420000
"20100035121","0804804","","","029-COSTA BOX BOMBON VIZZIO 16 X 96 G",CAJA,16.0000,16.0000,0.1000000000000000000,1.5360,125.3100000000
"20100035121","0804815","","","029-COSTA VIZZIO BITTER 60 X 72G",CAJA,60.0000,60.0000,0.0700000000000000000,4.3200,198.7360200000
"20100035121","0806611","806611","","029-MIMASKOT CARNE/CEREAL/VEG 25KG",UNIDAD,1.0000,1.0000,25.0000000000000000000,25.0000,151.2000000000
"20100035121","0806625","","","029-MIMASKOT POLLO/CEREAL 4X4KG NE",CAJA,4.0000,4.0000,4.0000000000000000000,16.0000,96.6860000000
"20100035121","0806626","","","029-MIMASKOT POLLO/CEREAL 15KG NE",UNIDAD,1.0000,1.0000,15.0000000000000000000,15.0000,89.5375000000
"20100035121","0800601","","","029-MMK ADULT TOD RAZ EN SALSA 4 X 3KG",BOLSA,4.0000,4.0000,3.0000000000000000000,12.0000,73.6009080000
"20100035121","0800654","800654","","029-GOMAS LOOP 12X90GR",CAJA,12.0000,12.0000,0.0900000000000000000,1.0800,19.3147320000
"20100035121","0800657","","","029-AVENA CANELA Y CLAVO 24X100GR",CAJA,24.0000,24.0000,0.1000000000000000000,2.4000,21.0319920000
"20100035121","0800811","","","029-AVENA PREM CLASICA 3 OSITOS 12X300GR",CAJA,12.0000,12.0000,0.3000000000000000000,3.6000,24.2679960000
"20100035121","0800829","800829","","029-AVENA 3 OSITOS GRANEL 10 KG",UNIDAD,1.0000,1.0000,10.0000000000000000000,10.0000,60.1690000000
"20100035121","0800840","","","029-KIWICHA AVENA 3 OSITOS 12X270GR",CAJA,12.0000,12.0000,0.2700000000000000000,3.2400,24.7749960000
"20100035121","0800841","","","029-KIWICHA AVENA 3 OSITOS 12X170GR",CAJA,12.0000,12.0000,0.1700000000000000000,2.0400,16.1673960000
"20100035121","0800877","","","029-ZEUS 25KG",UNIDAD,1.0000,1.0000,25.0000000000000000000,25.0000,83.5553850000
"20100035121","0800889","800889","","029-WAFER NIK VAINILLA 6X6X72GR",CAJA,6.0000,6.0000,0.4300000000000000000,2.5920,36.1922700000
"20100035121","0800987","800987","","029-GOMAS GUSANOS 12 X 90GR",CAJA,12.0000,12.0000,0.0900000000000000000,1.0800,19.3146720000
"20100035121","0801009","","","029-MOLITALIA CODO MED RAY 88 20 X 250 G",BOLSA,20.0000,20.0000,0.2500000000000000000,5.0000,25.8560000000
"20100035121","0801016","","","029-MOLITALIA PLUMILLA 63 20 X 250G",CAJA,20.0000,20.0000,0.2500000000000000000,5.0000,29.8210000000
"20100035121","0801017","","","029-MOLITALIA CANUTO 65 20 X 250G",CAJA,20.0000,20.0000,0.2500000000000000000,5.0000,25.8566600000
"20100035121","0801055","801055","","029-MARCO POLO ARITOS 05 20 X 250G",CAJA,20.0000,20.0000,0.2500000000000000000,5.0000,18.8680000000
"20100035121","0801056","","","029-MARCO POLO MUNICION 01 20 X 250G",CAJA,20.0000,20.0000,0.2500000000000000000,5.0000,18.6900000000
"20100035121","0801134","","","029-MOLITALIA RAVIOLI CARNE NUEVO 20 X 250G",CAJA,20.0000,20.0000,0.0000000000000000000,0.0000,92.6566600000
"20100035121","0801200","801200","","029-PANETON COSTA CAJA 6X800GR",CAJA,6.0000,6.0000,0.8000000000000000000,4.8000,114.9603960000
